Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),I error ,RZ error,SX error,X error,ECR error ,Gate time (ns),Operational,measure time (ns),x time (ns),rz time (ns),i time (ns),sx time (ns),reset time (ns)
10,141.04205534099728,159.2487270699391,4.926216475826387,-0.3085316291198984,0.0107999999999999,0.0134,0.0081999999999999,4000,0.0002235998952396,0,0.0002235998952396,0.0002235998952396,10_11:0.008555640359862726,10_11:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
11,270.8867380619998,102.58102034547444,4.839413175574302,-0.308885870288562,0.0467999999999999,0.056,0.0375999999999999,4000,0.0002438908530082,0,0.0002438908530082,0.0002438908530082,,,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4236.0
12,130.33456481936767,76.09368521718838,5.109803072103209,-0.3061650374654711,0.1575999999999999,0.0266,0.2885999999999999,4000,0.000446289338184,0,0.000446289338184,0.000446289338184,12_11:0.015017621174495038,12_11:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4124.0
13,172.06431006815936,74.47989624391238,4.982490037008271,-0.3068148853741847,0.0083999999999999,0.0103999999999999,0.0064,4000,0.0003646687371129,0,0.0003646687371129,0.0003646687371129,13_12:0.022424240757229763,13_12:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
14,136.21280246206712,43.3899336973528,4.865082965459735,-0.3091688931353723,0.0125999999999999,0.0228,0.0024,4000,0.0006504137485491,0,0.0006504137485491,0.0006504137485491,,,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
15,237.97906300917867,187.8624254033709,5.15346794367442,-0.305440988164761,0.0060999999999999,0.0048,0.0074,4000,0.0002011556587693,0,0.0002011556587693,0.0002011556587693,15_22:0.006037694405037736,15_22:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
16,137.0354010405787,92.11300736838966,4.952167690631429,-0.3070553236798937,0.0754,0.0665999999999999,0.0842,4000,0.0003284905960206,0,0.0003284905960206,0.0003284905960206,,,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
17,135.66869313523625,83.12831040583046,5.222733888407037,-0.3029522541528282,0.014,0.0125999999999999,0.0154,4000,0.0003297540144903,0,0.0003297540144903,0.0003297540144903,17_12:0.022917584749173464;17_30:0.019048100588722333,17_12:660;17_30:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4076.0
18,294.5808691036457,271.9462804314357,4.946779250911919,-0.308826064817133,0.0198,0.0233999999999999,0.0162,4000,0.0002045412204155,0,0.0002045412204155,0.0002045412204155,18_14:0.017760041588960968;18_19:0.024081079775811087,18_14:660;18_19:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
19,13.677232586020782,196.7200827418688,5.056998204899597,-0.3072964035561614,0.265,0.4636,0.0664,4000,0.0054149721707101,0,0.0054149721707101,0.0054149721707101,,,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
20,69.42715082335415,46.22131455548141,5.028933405464074,-0.3061722380473728,0.0775,0.0879999999999999,0.067,4000,0.0007104203043898,0,0.0007104203043898,0.0007104203043898,20_33:0.01166015215407995;20_21:0.011729819800215785;20_19:0.023943852911919083,20_33:660;20_21:660;20_19:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
21,154.93501296122804,139.57283245719765,5.169378837090617,-0.3041302197907452,0.0307999999999999,0.0206,0.041,4000,0.0002531308303001,0,0.0002531308303001,0.0002531308303001,21_22:0.008127849030163725,21_22:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
22,142.94780938694387,200.184784755894,5.060684289475364,-0.3062701358001481,0.0148999999999999,0.0145999999999999,0.0152,4000,0.0002771573664395,0,0.0002771573664395,0.0002771573664395,,,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
23,207.4794343431088,19.38854122270349,5.005350227050866,-0.3072039956935684,0.0375,0.038,0.037,4000,0.0003195953386018,0,0.0003195953386018,0.0003195953386018,23_22:0.007611011055583233,23_22:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
24,160.2557272323826,259.8397115754046,5.073615360911723,-0.3058968992654708,0.0332,0.0272,0.0392,4000,0.0002324175208091,0,0.0002324175208091,0.0002324175208091,24_23:0.008316286338882983,24_23:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
25,124.54822769922404,114.86450612482844,5.163995300431285,-0.3053687262921275,0.0293999999999999,0.0345999999999999,0.0242,4000,0.000718588365818,0,0.000718588365818,0.000718588365818,25_26:0.019719287877498687;25_24:0.011216291501802866,25_26:660;25_24:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4172.0
26,177.3645401585172,170.67329835193877,5.135130557084159,-0.3053120798456737,0.0275999999999999,0.0165999999999999,0.0386,4000,0.0003579039457861,0,0.0003579039457861,0.0003579039457861,26_16:0.009983816257151529,26_16:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
