Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),I error ,RZ error,SX error,X error,CZ error ,Gate time (ns),Operational,sx time (ns),measure time (ns),rz time (ns),x time (ns),i time (ns),reset time (ns)
10,176.36529940620392,141.42582116317826,0,0,0.0264999999999999,0.0293999999999999,0.0236,1560,0.0001525076549689,0,0.0001525076549689,0.0001525076549689,10_11:0.00323117785752286;10_9:0.0017863619786004648,10_11:68;10_9:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
11,207.98384303837827,80.77890369961052,0,0,0.0259,0.025,0.0268,1560,0.0001638836782222,0,0.0001638836782222,0.0001638836782222,11_18:0.0020200525791392032;11_12:0.002171225853411729;11_10:0.00323117785752286,11_18:68;11_12:68;11_10:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
12,84.02750877302344,90.81659886691826,0,0,0.0149999999999999,0.0225999999999999,0.0074,1560,0.0006160247323989,0,0.0006160247323989,0.0006160247323989,12_11:0.002171225853411729;12_13:0.0024901428165795547,12_11:68;12_13:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
13,214.5893101628011,174.42394122935116,0,0,0.0266999999999999,0.0255999999999999,0.0278,1560,0.0002326466315977,0,0.0002326466315977,0.0002326466315977,13_14:0.0017750182724628194;13_12:0.0024901428165795547,13_14:68;13_12:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
14,219.17671965694888,79.36353918234404,0,0,0.0250999999999999,0.0246,0.0255999999999999,1560,0.0008289479580266,0,0.0008289479580266,0.0008289479580266,14_15:0.00534972441658263;14_13:0.0017750182724628194,14_15:68;14_13:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
15,277.004567329602,169.99414981820485,0,0,0.0298,0.0315999999999999,0.028,1560,0.0002632159317331,0,0.0002632159317331,0.0002632159317331,15_19:0.0038341249296378332;15_14:0.00534972441658263,15_19:68;15_14:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
16,172.88243857853618,141.23864824365236,0,0,0.0367999999999999,0.0332,0.0404,1560,0.0005141330602039,0,0.0005141330602039,0.0005141330602039,16_23:0.0024958095748130182;16_3:0.0029001490201424895,16_23:68;16_3:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
17,133.39572502590374,104.01928497496824,0,0,0.0113999999999999,0.0126,0.0101999999999999,1560,0.0006540277906068,0,0.0006540277906068,0.0006540277906068,17_27:0.013003381447915185;17_7:0.004297037700244366,17_27:68;17_7:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
18,103.07873872503136,65.59429860405552,0,0,0.0332999999999999,0.0467999999999999,0.0198,1560,0.0003398102524541,0,0.0003398102524541,0.0003398102524541,18_31:0.004087302801441345;18_11:0.0020200525791392032,18_31:68;18_11:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
19,156.84818778506903,153.9531986771175,0,0,0.0167999999999999,0.019,0.0146,1560,0.0011023319654814,0,0.0011023319654814,0.0011023319654814,19_15:0.0038341249296378332;19_35:0.002916004708013037,19_15:68;19_35:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
20,233.42433125272743,206.3353234685056,0,0,0.0349999999999999,0.0373999999999999,0.0326,1560,0.0005524086325035,0,0.0005524086325035,0.0005524086325035,20_21:0.006443327924497616,20_21:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
21,208.93182363816624,169.84863776852575,0,0,0.0127999999999999,0.0181999999999999,0.0074,1560,0.0001579405482138,0,0.0001579405482138,0.0001579405482138,21_36:0.004610122357733337;21_22:0.0029991177768694255;21_20:0.006443327924497616,21_36:68;21_22:68;21_20:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
22,103.17718544035483,106.6053433979648,0,0,0.0171,0.0223999999999999,0.0118,1560,0.0002040047352148,0,0.0002040047352148,0.0002040047352148,22_23:0.0026319994809448632;22_21:0.0029991177768694255,22_23:68;22_21:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
23,235.2923139415169,177.15496212984024,0,0,0.0073,0.0088,0.0058,1560,0.00018220008048,0,0.00018220008048,0.00018220008048,23_24:0.002618297357867977;23_22:0.0026319994809448632;23_16:0.0024958095748130182,23_24:68;23_22:68;23_16:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
24,123.5560832126418,138.17054386200775,0,0,0.0156,0.0223999999999999,0.0088,1560,0.0002058037739894,0,0.0002058037739894,0.0002058037739894,24_23:0.002618297357867977;24_25:0.003787181303292586,24_23:68;24_25:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
